no1_pred,no1_score,no10_pred,no10_score,no10_aug_pred,no10_aug_score,no11_pred,no11_score,no11_aug_pred,no11_aug_score,no12_pred,no12_score,no12_aug_pred,no12_aug_score,no13_pred,no13_score,no13_aug_pred,no13_aug_score,no14_pred,no14_score,no14_aug_pred,no14_aug_score,no15_pred,no15_score,no15_aug_pred,no15_aug_score,no16_pred,no16_score,no16_aug_pred,no16_aug_score,no17_pred,no17_score,no17_aug_pred,no17_aug_score,no18_pred,no18_score,no18_aug_pred,no18_aug_score,no19_pred,no19_score,no19_aug_pred,no19_aug_score,no1_aug_pred,no1_aug_score,no2_pred,no2_score,no20_pred,no20_score,no20_aug_pred,no20_aug_score,no21_pred,no21_score,no21_aug_pred,no21_aug_score,no22_pred,no22_score,no22_aug_pred,no22_aug_score,no23_pred,no23_score,no23_aug_pred,no23_aug_score,no24_pred,no24_score,no24_aug_pred,no24_aug_score,no25_pred,no25_score,no25_aug_pred,no25_aug_score,no2_aug_pred,no2_aug_score,no3_pred,no3_score,no3_aug_pred,no3_aug_score,no4_pred,no4_score,no4_aug_pred,no4_aug_score,no5_pred,no5_score,no5_aug_pred,no5_aug_score,no6_pred,no6_score,no6_aug_pred,no6_aug_score,no7_pred,no7_score,no7_aug_pred,no7_aug_score,no8_pred,no8_score,no8_aug_pred,no8_aug_score,no9_pred,no9_score,no9_aug_pred,no9_aug_score,reliable_pred,reliable_score,reliable_aug_pred,reliable_aug_score,total_pred,total_score,total_aug_pred,total_aug_score,y
0.89252675,3.0,0.8046873,2.0,0.928874,3.0,0.86205447,3.0,0.8520792,3.0,0.71211576,2.0,0.6568667,2.0,0.701256,2.0,0.75096935,2.0,0.7012205,2.0,0.8995967,3.0,0.8119906,2.0,0.916129,3.0,0.73440236,2.0,0.7053786,2.0,0.76216364,2.0,0.6288061,2.0,0.74372405,2.0,0.832704,2.0,0.74959964,2.0,0.6935625,2.0,0.8109058,2.0,0.6944186,2.0,0.67380416,2.0,0.8025734,2.0,0.86278105,3.0,0.8541272,3.0,0.6025218,2.0,0.7461657,2.0,0.7203434,2.0,0.80246884,2.0,0.79341066,2.0,0.9002556,3.0,0.913842,3.0,0.8985663,3.0,0.71771777,2.0,0.84797543,3.0,0.8812879,3.0,0.8016426,2.0,0.77101773,2.0,0.7015955,2.0,0.6873868,2.0,0.7897252,2.0,0.82662696,2.0,0.80125755,2.0,0.76668,2.0,0.8129371,2.0,0.76689637,2.0,0.8156575,2.0,0.8836104,3.0,0.72842884,2.0,0.74296737,2.0,0.7825228,2.0,0.7848996,2.0,3.0
0.893117,2.0,0.82301545,2.0,0.9275732,2.0,0.8600829,2.0,0.8550244,2.0,0.71505195,1.0,0.6885801,1.0,0.7037864,1.0,0.74741673,1.0,0.6936261,1.0,0.8989923,2.0,0.81537443,2.0,0.9160043,2.0,0.7205559,1.0,0.7048407,1.0,0.76471436,2.0,0.6373333,1.0,0.7453441,1.0,0.8087456,2.0,0.74862236,1.0,0.7008615,1.0,0.83913654,2.0,0.68824697,1.0,0.6747657,1.0,0.80145586,2.0,0.8506918,2.0,0.8449745,2.0,0.6054705,1.0,0.73962665,1.0,0.7369959,1.0,0.79730743,2.0,0.7976572,2.0,0.89529455,2.0,0.91246253,2.0,0.8954551,2.0,0.7181582,1.0,0.84724414,2.0,0.88164794,2.0,0.7902152,2.0,0.76818377,2.0,0.6953048,1.0,0.68792224,1.0,0.79036117,2.0,0.8276163,2.0,0.7956346,2.0,0.7628296,2.0,0.80946463,2.0,0.7601655,2.0,0.82163703,2.0,0.8807926,2.0,0.730394,1.0,0.7406822,1.0,0.78571546,2.0,0.8159965,2.0,2.0
0.89187986,1.0,0.791399,1.0,0.9290032,1.0,0.8624216,1.0,0.85223293,1.0,0.7133012,1.0,0.65548605,1.0,0.70369214,1.0,0.7520457,1.0,0.7007664,1.0,0.89999163,1.0,0.81648964,1.0,0.9189601,1.0,0.7235009,1.0,0.70783687,1.0,0.76215947,1.0,0.6296208,1.0,0.74364173,1.0,0.83098096,1.0,0.7498947,1.0,0.69394517,1.0,0.817936,1.0,0.69284123,1.0,0.6725278,1.0,0.799303,1.0,0.8644712,1.0,0.85771227,1.0,0.60044175,1.0,0.7454188,1.0,0.73056304,1.0,0.80401546,1.0,0.7919491,1.0,0.9015877,1.0,0.91349083,1.0,0.90495974,1.0,0.7163131,1.0,0.84819865,1.0,0.8699015,1.0,0.7992862,1.0,0.7686194,1.0,0.70041054,1.0,0.6877953,1.0,0.79057276,1.0,0.8286285,1.0,0.8002194,1.0,0.7634068,1.0,0.807629,1.0,0.7683216,1.0,0.81712395,1.0,0.8818638,1.0,0.7282068,1.0,0.74124825,1.0,0.7827441,1.0,0.8202808,1.0,1.0
0.89509004,2.0,0.77272,2.0,0.93006164,2.0,0.8575083,2.0,0.8533054,2.0,0.7103862,1.0,0.6937944,1.0,0.70352644,1.0,0.75399446,2.0,0.7023341,1.0,0.9001831,2.0,0.8158735,2.0,0.9199741,2.0,0.69870245,1.0,0.70381474,1.0,0.7586193,2.0,0.63358206,1.0,0.74232924,1.0,0.82824475,2.0,0.74742025,1.0,0.69164747,1.0,0.878886,2.0,0.6909123,1.0,0.67825174,1.0,0.8150923,2.0,0.83998346,2.0,0.8328965,2.0,0.64440185,1.0,0.75255924,2.0,0.73434967,1.0,0.796829,2.0,0.8106811,2.0,0.88804454,2.0,0.91228724,2.0,0.90075976,2.0,0.72013336,1.0,0.8463921,2.0,0.86570317,2.0,0.78810716,2.0,0.7756223,2.0,0.68956995,1.0,0.691199,1.0,0.7710941,2.0,0.8261935,2.0,0.79027545,2.0,0.69881654,1.0,0.8019091,2.0,0.7751555,2.0,0.8183457,2.0,0.88683486,2.0,0.7274644,1.0,0.74365824,1.0,0.7851663,2.0,0.7862505,2.0,2.0
0.8954705,2.0,0.76292694,2.0,0.92261577,2.0,0.8558815,2.0,0.8498786,2.0,0.70750195,1.0,0.69371676,1.0,0.7107896,1.0,0.75922084,2.0,0.703639,1.0,0.90051395,2.0,0.756193,2.0,0.941861,2.0,0.6909638,1.0,0.7029278,1.0,0.7422544,1.0,0.6026731,1.0,0.7460662,1.0,0.78435993,2.0,0.7473833,1.0,0.65745443,1.0,0.88531405,2.0,0.6876498,1.0,0.679569,1.0,0.82263887,2.0,0.8041839,2.0,0.8100532,2.0,0.6625895,1.0,0.75813574,2.0,0.73631054,1.0,0.8029418,2.0,0.81128985,2.0,0.89489055,2.0,0.909589,2.0,0.8903288,2.0,0.7214886,1.0,0.8424583,2.0,0.8911363,2.0,0.7941657,2.0,0.77963704,2.0,0.693044,1.0,0.6878389,1.0,0.77659196,2.0,0.82660514,2.0,0.79171985,2.0,0.6783504,1.0,0.7981063,2.0,0.79049367,2.0,0.8169252,2.0,0.8685358,2.0,0.7222446,1.0,0.7418757,1.0,0.7865212,2.0,0.7978976,2.0,2.0
0.8951594,3.0,0.76568484,2.0,0.932266,3.0,0.8596778,3.0,0.855569,3.0,0.71145654,2.0,0.68485767,2.0,0.6990073,2.0,0.7480472,2.0,0.70184124,2.0,0.9003829,3.0,0.81309575,2.0,0.9168167,3.0,0.7149811,2.0,0.70362777,2.0,0.76450133,2.0,0.63357514,2.0,0.7433109,2.0,0.8218563,2.0,0.74753076,2.0,0.69322157,2.0,0.8739886,3.0,0.6907177,2.0,0.67419654,2.0,0.8096384,2.0,0.8375572,3.0,0.83630055,3.0,0.62767017,2.0,0.7475828,2.0,0.7426198,2.0,0.7919967,2.0,0.8106542,2.0,0.88904923,3.0,0.9126875,3.0,0.8991453,3.0,0.72031397,2.0,0.8475103,3.0,0.8590598,3.0,0.78943014,2.0,0.7721795,2.0,0.6911083,2.0,0.69004965,2.0,0.7887082,2.0,0.8283209,2.0,0.78852355,2.0,0.71963304,2.0,0.79729563,2.0,0.76871735,2.0,0.8206492,2.0,0.8789858,3.0,0.7249556,2.0,0.74214697,2.0,0.7857549,2.0,0.81322944,2.0,3.0
0.8936409,2.0,0.77248174,2.0,0.9270539,2.0,0.8572553,2.0,0.8516999,2.0,0.7089857,1.0,0.70830375,1.0,0.70300233,1.0,0.7533265,2.0,0.7068727,1.0,0.89905447,2.0,0.7880665,2.0,0.92494833,2.0,0.6920011,1.0,0.7018127,1.0,0.7483667,1.0,0.6385195,1.0,0.7429,1.0,0.829242,2.0,0.74626714,1.0,0.68189967,1.0,0.8799693,2.0,0.69570804,1.0,0.67606616,1.0,0.8170043,2.0,0.8211541,2.0,0.8250816,2.0,0.66565454,1.0,0.744307,1.0,0.7499228,1.0,0.7971593,2.0,0.80934465,2.0,0.8899569,2.0,0.9084541,2.0,0.89583546,2.0,0.71900594,1.0,0.84227866,2.0,0.87838274,2.0,0.7877306,2.0,0.77616537,2.0,0.6922887,1.0,0.69058454,1.0,0.76514834,2.0,0.826771,2.0,0.7949399,2.0,0.6894522,1.0,0.7985807,2.0,0.76849645,2.0,0.8153021,2.0,0.89072263,2.0,0.72601295,1.0,0.73924595,1.0,0.7847524,2.0,0.7976897,2.0,2.0
0.89389867,2.0,0.78561413,2.0,0.9320055,2.0,0.8603712,2.0,0.85563284,2.0,0.7089435,1.0,0.6776969,1.0,0.70253676,1.0,0.7546823,2.0,0.7025006,1.0,0.89886713,2.0,0.8115082,2.0,0.9176695,2.0,0.6999873,1.0,0.70124394,1.0,0.7693174,2.0,0.63946146,1.0,0.7427919,1.0,0.8193287,2.0,0.74681437,1.0,0.6862754,1.0,0.8780609,2.0,0.68946415,1.0,0.6761192,1.0,0.8147186,2.0,0.83657944,2.0,0.83046275,2.0,0.65064454,1.0,0.7464308,1.0,0.732131,1.0,0.7938833,2.0,0.8128589,2.0,0.886182,2.0,0.9105001,2.0,0.8997721,2.0,0.72023237,1.0,0.8455341,2.0,0.8677544,2.0,0.78645355,2.0,0.7758948,2.0,0.68967813,1.0,0.6910372,1.0,0.77072835,2.0,0.8269305,2.0,0.7891344,2.0,0.71833223,1.0,0.797759,2.0,0.75978893,2.0,0.8185619,2.0,0.88416606,2.0,0.7268337,1.0,0.74241537,1.0,0.78411216,2.0,0.7664717,2.0,2.0
0.8969335,2.0,0.7834538,2.0,0.9302866,2.0,0.8590816,2.0,0.8512668,2.0,0.7112864,1.0,0.68680805,1.0,0.7008907,1.0,0.7533305,2.0,0.70065814,1.0,0.89926654,2.0,0.81098866,2.0,0.921322,2.0,0.69436663,1.0,0.70053905,1.0,0.7662796,2.0,0.636496,1.0,0.74239403,1.0,0.83001804,2.0,0.74823415,1.0,0.6890187,1.0,0.8800776,2.0,0.6894905,1.0,0.6769628,1.0,0.8155802,2.0,0.8340975,2.0,0.8302913,2.0,0.6464313,1.0,0.7502819,2.0,0.7344489,1.0,0.79464006,2.0,0.8109139,2.0,0.8867865,2.0,0.91185576,2.0,0.9004064,2.0,0.7205789,1.0,0.845547,2.0,0.8723104,2.0,0.78573453,2.0,0.77423275,2.0,0.6886934,1.0,0.6913191,1.0,0.7714442,2.0,0.82661337,2.0,0.79037964,2.0,0.71358067,1.0,0.7980668,2.0,0.7703709,2.0,0.8202101,2.0,0.88226694,2.0,0.72629076,1.0,0.7434697,1.0,0.78594035,2.0,0.77756673,2.0,2.0
0.8956278,3.0,0.7505982,2.0,0.92855334,3.0,0.85820574,3.0,0.85112494,3.0,0.7102438,2.0,0.683361,2.0,0.7036435,2.0,0.7577324,2.0,0.7019867,2.0,0.89880425,3.0,0.81269705,2.0,0.9248036,3.0,0.69392663,2.0,0.704962,2.0,0.7575495,2.0,0.6403928,2.0,0.74294317,2.0,0.8356554,3.0,0.7471579,2.0,0.6852436,2.0,0.8871122,3.0,0.6921236,2.0,0.6764267,2.0,0.81646454,2.0,0.8294631,2.0,0.831263,2.0,0.6625306,2.0,0.7509605,2.0,0.74482065,2.0,0.7948673,2.0,0.81205994,2.0,0.8904786,3.0,0.90990746,3.0,0.9030162,3.0,0.7213175,2.0,0.8447502,3.0,0.86246014,3.0,0.7860333,2.0,0.77534485,2.0,0.69075745,2.0,0.6911427,2.0,0.7639039,2.0,0.8272219,2.0,0.79126775,2.0,0.70724815,2.0,0.79628354,2.0,0.77150255,2.0,0.81965214,2.0,0.8879655,3.0,0.7265676,2.0,0.7414858,2.0,0.7852976,2.0,0.81425095,2.0,3.0
