,accuracy,corr
no1,0.7446666666666667,0.6106267276371116
no2,0.27,0.4639309124431138
no3,0.5793333333333334,0.4747846590839365
no4,0.374,0.5007078069428474
no5,0.25933333333333336,0.5129431755102101
no6,0.5793333333333334,0.4747846590839365
no7,0.5793333333333334,0.4747846590839365
no8,0.5793333333333334,0.4747846590839365
no9,0.6166666666666667,0.42343313503530167
no10,0.25933333333333336,0.5129431755102101
no11,0.7446666666666667,0.6106267276371116
no12,0.25933333333333336,0.5129431755102101
no13,0.25933333333333336,0.5129431755102101
no14,0.7446666666666667,0.6106267276371116
no15,0.584,0.5635481406079632
no16,0.25933333333333336,0.5129431755102101
no17,0.25933333333333336,0.5129431755102101
no18,0.25933333333333336,0.5129431755102101
no19,0.5793333333333334,0.4747846590839365
no20,0.25933333333333336,0.5129431755102101
no21,0.5793333333333334,0.4747846590839365
no22,0.5793333333333334,0.4747846590839365
no23,0.5793333333333334,0.4747846590839365
no24,0.48533333333333334,0.3597311352207549
no25,0.6073333333333333,0.4927724104030117
total,0.5793333333333334,0.4747846590839365
reliable,0.25933333333333336,0.5129431755102101
no10_aug,0.6506666666666666,0.5059687790594972
no11_aug,0.5793333333333334,0.4747846590839365
no12_aug,0.25933333333333336,0.5129431755102101
no13_aug,0.25933333333333336,0.5129431755102101
no14_aug,0.7446666666666667,0.6106267276371116
no15_aug,0.5793333333333334,0.4747846590839365
no16_aug,0.25933333333333336,0.5129431755102101
no17_aug,0.584,0.38730283795446335
no18_aug,0.25933333333333336,0.5129431755102101
no19_aug,0.25733333333333336,0.4084530642180168
no1_aug,0.7446666666666667,0.6106267276371116
no20_aug,0.582,0.5795961513412496
no21_aug,0.58,0.5052490581721184
no22_aug,0.5793333333333334,0.4747846590839365
no23_aug,0.6233333333333333,0.4162494730333912
no24_aug,0.5833333333333334,0.5555026723839097
no25_aug,0.7446666666666667,0.6106267276371116
no2_aug,0.25933333333333336,0.5129431755102101
no3_aug,0.5793333333333334,0.4747846590839365
no4_aug,0.25933333333333336,0.5129431755102101
no5_aug,0.25933333333333336,0.5129431755102101
no6_aug,0.6033333333333334,0.44087798100167724
no7_aug,0.5793333333333334,0.4747846590839365
no8_aug,0.544,0.4311223478420068
no9_aug,0.5793333333333334,0.4747846590839365
reliable_aug,0.25933333333333336,0.5129431755102101
total_aug,0.56,0.5160223479309465
