no1_pred,no1_score,no10_pred,no10_score,no10_aug_pred,no10_aug_score,no11_pred,no11_score,no11_aug_pred,no11_aug_score,no12_pred,no12_score,no12_aug_pred,no12_aug_score,no13_pred,no13_score,no13_aug_pred,no13_aug_score,no14_pred,no14_score,no14_aug_pred,no14_aug_score,no15_pred,no15_score,no15_aug_pred,no15_aug_score,no16_pred,no16_score,no16_aug_pred,no16_aug_score,no17_pred,no17_score,no17_aug_pred,no17_aug_score,no18_pred,no18_score,no18_aug_pred,no18_aug_score,no19_pred,no19_score,no19_aug_pred,no19_aug_score,no1_aug_pred,no1_aug_score,no2_pred,no2_score,no20_pred,no20_score,no20_aug_pred,no20_aug_score,no21_pred,no21_score,no21_aug_pred,no21_aug_score,no22_pred,no22_score,no22_aug_pred,no22_aug_score,no23_pred,no23_score,no23_aug_pred,no23_aug_score,no24_pred,no24_score,no24_aug_pred,no24_aug_score,no25_pred,no25_score,no25_aug_pred,no25_aug_score,no2_aug_pred,no2_aug_score,no3_pred,no3_score,no3_aug_pred,no3_aug_score,no4_pred,no4_score,no4_aug_pred,no4_aug_score,no5_pred,no5_score,no5_aug_pred,no5_aug_score,no6_pred,no6_score,no6_aug_pred,no6_aug_score,no7_pred,no7_score,no7_aug_pred,no7_aug_score,no8_pred,no8_score,no8_aug_pred,no8_aug_score,no9_pred,no9_score,no9_aug_pred,no9_aug_score,reliable_pred,reliable_score,reliable_aug_pred,reliable_aug_score,total_pred,total_score,total_aug_pred,total_aug_score,y
0.802552,2.0,0.5028432,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11236266,0.0,0.48209828,1.0,0.0,0.0,0.0,0.0,0.38339192,1.0,0.2786861,1.0,0.0,0.0,0.0,0.0,1.0732243,3.0,1.0023668,3.0,0.0,0.0,0.8080191,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37837029,1.0,0.0,0.0,0.8642261,3.0,0.5970244,2.0,0.0,0.0,0.18269108,1.0,0.63515854,2.0,0.40378526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2294084,4.0,0.29192045,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1736829,4.0,0.0,0.0,0.27889237,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.8023192,2.0,0.5102711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13678756,0.0,0.4986987,1.0,0.0,0.0,0.0,0.0,0.29848844,1.0,0.29984996,1.0,0.0,0.0,0.0,0.0,1.0258768,2.0,0.9907067,2.0,0.0,0.0,0.7952049,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3794352,1.0,0.0,0.0,0.8724101,2.0,0.6054271,1.0,0.0,0.0,0.16329028,0.0,0.5945453,1.0,0.4147874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211929,2.0,0.29243693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1715211,2.0,0.0,0.0,0.27994114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.81066686,1.0,0.49476907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11631535,0.0,0.48942992,0.0,0.0,0.0,0.0,0.0,0.34414425,0.0,0.28326142,0.0,0.0,0.0,0.0,0.0,1.0698572,1.0,0.9978099,1.0,0.0,0.0,0.80798525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37321752,0.0,0.0,0.0,0.85955435,1.0,0.59266496,1.0,0.0,0.0,0.18164544,0.0,0.6337592,1.0,0.4103139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226986,1.0,0.2898181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1674327,1.0,0.0,0.0,0.2759669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.80203986,2.0,0.5082752,1.0,0.01849404,0.0,0.0,0.0,0.0,0.0,0.11378997,0.0,0.4814149,1.0,0.0,0.0,0.0,0.0,0.3633832,1.0,0.2775386,1.0,0.0,0.0,0.0,0.0,0.96857446,2.0,0.9835626,2.0,0.0,0.0,0.77435374,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39038938,1.0,0.0,0.0,0.8469167,2.0,0.6072926,1.0,0.0,0.0,0.07230135,0.0,0.6149564,1.0,0.42755547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1994804,2.0,0.2615421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2024475,2.0,0.0,0.0,0.23645407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.8072418,2.0,0.5129061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13477309,0.0,0.46775123,1.0,0.0,0.0,0.0,0.0,0.25517616,1.0,0.24952582,0.0,0.0,0.0,0.0,0.0,0.96129054,2.0,0.9897597,2.0,0.0,0.0,0.72457045,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36677116,1.0,0.0,0.0,0.852694,2.0,0.56154007,1.0,0.0,0.0,0.09238268,0.0,0.6130568,1.0,0.39744776,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1959599,2.0,0.25610456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2402412,2.0,0.0,0.0,0.17766577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.7972257,2.0,0.4954259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11065114,0.0,0.49220636,1.0,0.0,0.0,0.0,0.0,0.37248912,1.0,0.2861745,1.0,0.0,0.0,0.0,0.0,0.97743154,3.0,0.98829556,3.0,0.0,0.0,0.7870608,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39800796,1.0,0.0,0.0,0.8674475,3.0,0.60847616,2.0,0.0,0.0,0.07093059,0.0,0.6215763,2.0,0.4189703,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1927475,4.0,0.25721404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1895549,4.0,0.0,0.0,0.24003117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.7919125,2.0,0.5209283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12378308,0.0,0.47298312,1.0,0.0,0.0,0.0,0.0,0.33282566,1.0,0.25345173,1.0,0.0,0.0,0.0,0.0,0.9554986,2.0,0.97840846,2.0,0.0,0.0,0.7568997,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37630647,1.0,0.0,0.0,0.84838706,2.0,0.5675175,1.0,0.0,0.0,0.07306748,0.0,0.61014324,1.0,0.41742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1901965,2.0,0.25701997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2118919,2.0,0.0,0.0,0.21065804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.7985946,2.0,0.5113014,1.0,0.006436795,0.0,0.0,0.0,0.0,0.0,0.10789339,0.0,0.4911734,1.0,0.0,0.0,0.0,0.0,0.3595133,1.0,0.2786108,1.0,0.0,0.0,0.0,0.0,0.9749468,2.0,0.98096246,2.0,0.0,0.0,0.77510434,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39030117,1.0,0.0,0.0,0.85227543,2.0,0.6097714,1.0,0.0,0.0,0.080753826,0.0,0.61401314,1.0,0.41938883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1975166,2.0,0.2657633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2013296,2.0,0.0,0.0,0.2366828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.8012218,2.0,0.51031405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11291373,0.0,0.48995516,1.0,0.0,0.0,0.0,0.0,0.26624262,1.0,0.2863736,1.0,0.0,0.0,0.0,0.0,0.9682427,2.0,0.98238003,2.0,0.0,0.0,0.778418,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39886832,1.0,0.0,0.0,0.85534674,2.0,0.6138769,1.0,0.0,0.0,0.07887068,0.0,0.61262566,1.0,0.4304153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.203339,2.0,0.26279342,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2029994,2.0,0.0,0.0,0.23466003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.80067885,2.0,0.5045942,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102846146,0.0,0.47178134,1.0,0.0,0.0,0.0,0.0,0.2583795,1.0,0.26671833,1.0,0.0,0.0,0.0,0.0,0.9654219,3.0,0.9831806,3.0,0.0,0.0,0.77057475,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38824224,1.0,0.0,0.0,0.8439898,3.0,0.578863,2.0,0.0,0.0,0.07358869,0.0,0.611685,2.0,0.42282507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1925548,4.0,0.2593034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2091843,4.0,0.0,0.0,0.23536573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
